timestamp,ip_src,ip_dst,mac_src,mac_dst,protocols,length
2025-10-23T16:05:44.241146,172.253.115.106,10.177.195.248,00:00:0c:9f:f4:67,7e:fd:5e:af:fd:e3,"eth,ip,udp,DATA",68
2025-10-23T16:05:44.915158,10.177.195.248,54.175.31.24,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp",54
2025-10-23T16:05:44.929368,54.175.31.24,10.177.195.248,00:00:0c:9f:f4:67,7e:fd:5e:af:fd:e3,"eth,ip,tcp",66
2025-10-23T16:05:46.617201,10.177.195.248,172.16.79.48,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,udp,dns",92
2025-10-23T16:05:46.617446,10.177.195.248,172.16.79.48,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,udp,dns",92
2025-10-23T16:05:46.618086,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp,tls",184
2025-10-23T16:05:46.618197,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp,tls",1434
2025-10-23T16:05:46.618199,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp",1434
2025-10-23T16:05:46.618201,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp",1434
2025-10-23T16:05:46.618210,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp,DATA,tls",84
2025-10-23T16:06:11.046527,10.177.195.248,172.253.115.188,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp",54
2025-10-23T16:06:11.063125,172.253.115.188,10.177.195.248,00:00:0c:9f:f4:67,7e:fd:5e:af:fd:e3,"eth,ip,tcp",66
2025-10-23T16:06:14.169484,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp,tls",179
2025-10-23T16:06:14.169528,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp,tls",105
2025-10-23T16:06:14.169545,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp,tls",1434
2025-10-23T16:06:14.169549,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp,DATA,tls",774
2025-10-23T16:06:14.182518,52.168.117.171,10.177.195.248,00:00:0c:9f:f4:67,7e:fd:5e:af:fd:e3,"eth,ip,tcp",66
2025-10-23T16:06:14.182520,52.168.117.171,10.177.195.248,00:00:0c:9f:f4:67,7e:fd:5e:af:fd:e3,"eth,ip,tcp",66
2025-10-23T16:06:14.187907,52.168.117.171,10.177.195.248,00:00:0c:9f:f4:67,7e:fd:5e:af:fd:e3,"eth,ip,tcp,tls",105
2025-10-23T16:06:14.187996,10.177.195.248,52.168.117.171,7e:fd:5e:af:fd:e3,00:00:0c:9f:f4:67,"eth,ip,tcp",66
